,Accuracy,Recall,F1 Score,Confusion Matrix
logreg,0.9385964912280702,0.9767441860465116,0.9230769230769231,"[[65  6]
 [ 1 42]]"
knn,0.9473684210526315,0.9302325581395349,0.9302325581395349,"[[68  3]
 [ 3 40]]"
svm_linear,0.956140350877193,0.9534883720930233,0.9425287356321839,"[[68  3]
 [ 2 41]]"
svm_rbf,0.9385964912280702,0.9534883720930233,0.9213483146067416,"[[66  5]
 [ 2 41]]"
naive_bayes,0.9649122807017544,0.9302325581395349,0.9523809523809523,"[[70  1]
 [ 3 40]]"
decision_tree,0.9473684210526315,0.8837209302325582,0.926829268292683,"[[70  1]
 [ 5 38]]"
random_forest,0.9649122807017544,0.9302325581395349,0.9523809523809523,"[[70  1]
 [ 3 40]]"
